"","variable","gene","value","Scan Name","Target","Sample_ID","Group"
"153","DSP1001660035014AA08.dcc","TFF2",5.32342359589869,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","CBD"
"154","DSP1001660035014AA08.dcc","TFF3",6.48911805508308,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","CBD"
"155","DSP1001660035014AA08.dcc","TFF1",5.32342359589869,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","CBD"
"156","DSP1001660035014AA08.dcc","AQP5",6.48911805508308,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","CBD"
"157","DSP1001660035014AA08.dcc","FGF19",5.59513049049522,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","GB"
"158","DSP1001660035014AA08.dcc","SLC15A1",7.12533696725545,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","GB"
"159","DSP1001660035014AA08.dcc","MUC13",6.48911805508308,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","GB"
"160","DSP1001660035014AA08.dcc","SLC13A1",5.82368578300716,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","GB"
"161","DSP1001660035014AA08.dcc","SOX17",5.59513049049522,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","GB"
"168","DSP1001660035014AA09.dcc","DCDC2",8.7148856818225,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"169","DSP1001660035014AA09.dcc","PKHD1",9.10521750178151,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"170","DSP1001660035014AA09.dcc","HES4",6.10237105977206,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"171","DSP1001660035014AA09.dcc","BICC1",7.98193791422682,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"172","DSP1001660035014AA09.dcc","JAG1",7.98193791422682,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"173","DSP1001660035014AA09.dcc","SOX4",8.25914916440231,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"174","DSP1001660035014AA09.dcc","TACSTD2",8.09222602836011,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"175","DSP1001660035014AA09.dcc","HES1",7.15329637777749,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"176","DSP1001660035014AA09.dcc","TFF2",5.78964083874973,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","CBD"
"177","DSP1001660035014AA09.dcc","TFF3",6.10237105977206,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","CBD"
