Region,CellTypes,Count,Condition
BC05,CD4 Central,29.96072585,DKO
BC05,CD4/8 Effector,8.871013321,DKO
BC07,Others,134.2795425,WT
BC07,Monocytes,12.32022712,WT
BC07,DCs,6.979040872,WT
BC07,B cells,0,WT
BC07,CD8 Naive,12.16786625,WT
BC07,CD8 Central,121.849121,WT
BC07,Tregs,8.094153241,WT
BC07,CD4 Naive,75.46442494,WT
BC07,CD4 Central,151.3174318,WT
BC07,CD4/8 Effector,26.59586817,WT
BC09,Others,200.5615741,WT
BC09,Monocytes,24.44391983,WT
BC09,DCs,6.6495369,WT
BC09,B cells,2.360645801,WT
BC09,CD8 Naive,15.42320624,WT
BC09,CD8 Central,160.2634589,WT
BC09,Tregs,9.740113952,WT
BC09,CD4 Naive,155.258769,WT
BC09,CD4 Central,163.2416189,WT
BC09,CD4/8 Effector,58.73249528,WT
BC11,Others,217.1475898,WT
BC11,Monocytes,18.85192972,WT
BC11,DCs,9.548125422,WT
BC11,B cells,22.03980693,WT
BC11,CD8 Naive,0,WT
BC11,CD8 Central,205.8680972,WT
BC11,Tregs,0,WT
BC11,CD4 Naive,207.0160556,WT
BC11,CD4 Central,192.1473496,WT
BC11,CD4/8 Effector,54.28494635,WT
BD01,Others,130.6949943,WT
BD01,Monocytes,5.772691201,WT
BD01,DCs,12.20441155,WT
BD01,B cells,10.76911166,WT
BD01,CD8 Naive,23.8079587,WT
BD01,CD8 Central,164.4518781,WT
BD01,Tregs,0,WT
BD01,CD4 Naive,103.608648,WT
BD01,CD4 Central,161.4704573,WT
BD01,CD4/8 Effector,39.5505755,WT
BD03,Others,113.7269461,WT
BD03,Monocytes,12.52058897,WT
BD03,DCs,1.681538218,WT
BD03,B cells,0,WT
BD03,CD8 Naive,29.96749077,WT
BD03,CD8 Central,99.95142449,WT
BD03,Tregs,0,WT
BD03,CD4 Naive,107.3517407,WT
BD03,CD4 Central,86.63857353,WT
BD03,CD4/8 Effector,28.7078316,WT
BD04,Others,58.11165561,WT
BD04,Monocytes,5.907225318,WT
BD04,DCs,2.407965524,WT
BD04,B cells,5.24274362,WT
BD04,CD8 Naive,14.54995339,WT
BD04,CD8 Central,66.2887126,WT
BD04,Tregs,18.58350079,WT
BD04,CD4 Naive,49.02120045,WT
BD04,CD4 Central,47.95158902,WT
BD04,CD4/8 Effector,23.61029026,WT
BD06,Others,177.6037643,WT
BD06,Monocytes,22.33126313,WT
BD06,DCs,6.82091222,WT
BD06,B cells,14.2601528,WT
BD06,CD8 Naive,30.21563476,WT
BD06,CD8 Central,148.3206921,WT
BD06,Tregs,0,WT
BD06,CD4 Naive,141.4632281,WT
BD06,CD4 Central,170.1600478,WT
BD06,CD4/8 Effector,55.82686596,WT
BD08,Others,126.2489678,WT
BD08,Monocytes,15.78065763,WT
BD08,DCs,6.823150561,WT
BD08,B cells,7.700405504,WT
BD08,CD8 Naive,46.98614073,WT
BD08,CD8 Central,109.2221827,WT
BD08,Tregs,0,WT
BD08,CD4 Naive,113.0178193,WT
BD08,CD4 Central,107.1265935,WT
BD08,CD4/8 Effector,23.2608408,WT
BD10,Others,258.1001346,WT
BD10,Monocytes,25.66888653,WT
BD10,DCs,11.20931603,WT
BD10,B cells,9.109499101,WT
BD10,CD8 Naive,50.9676936,WT
BD10,CD8 Central,196.0981917,WT
BD10,Tregs,0,WT
BD10,CD4 Naive,238.2846521,WT
BD10,CD4 Central,228.6323563,WT
BD10,CD4/8 Effector,70.86758028,WT
BD12,Others,209.4618755,WT
BD12,Monocytes,16.07151602,WT
BD12,DCs,8.492386011,WT
BD12,B cells,18.54871355,WT
BD12,CD8 Naive,16.87985554,WT
BD12,CD8 Central,189.5097309,WT
BD12,Tregs,27.97982214,WT
BD12,CD4 Naive,195.6876706,WT
BD12,CD4 Central,179.3490938,WT
BD12,CD4/8 Effector,56.77358448,WT
BE01,Others,54.33463407,WT
BE01,Monocytes,2.951804924,WT
BE01,DCs,3.929418327,WT
BE01,B cells,8.244689179,WT
BE01,CD8 Naive,10.72503004,WT
BE01,CD8 Central,58.83971768,WT
BE01,Tregs,0,WT
BE01,CD4 Naive,35.70476488,WT
BE01,CD4 Central,55.90043454,WT
BE01,CD4/8 Effector,8.687032847,WT
