Name,CellTypes,Count,Condition
AE12,naive.CD8+.T.cell,0,DKO
AE12,memory.B.cell,0,DKO
AE12,cytotoxic.T.cell.type.1,0,DKO
AF01,naive.B.cell,0,DKO
AF01,precursor.B.cell,14.01303976,DKO
AF01,pro.B.cell,9.578474205,DKO
AF01,cytotoxic.T.cell.type.2,6.228374173,DKO
AF01,CD4+.naive.T.cell,0,DKO
AF01,T.helper.cell,0,DKO
AF01,naive.CD8+.T.cell,0,DKO
AF01,memory.B.cell,0,DKO
AF01,cytotoxic.T.cell.type.1,0,DKO
AF03,naive.B.cell,0,DKO
AF03,precursor.B.cell,46.69043899,DKO
AF03,pro.B.cell,39.24771028,DKO
AF03,cytotoxic.T.cell.type.2,23.88618835,DKO
AF03,CD4+.naive.T.cell,0,DKO
AF03,T.helper.cell,0,DKO
AF03,naive.CD8+.T.cell,0,DKO
AF03,memory.B.cell,0,DKO
AF03,cytotoxic.T.cell.type.1,0,DKO
AF05,naive.B.cell,0,DKO
AF05,precursor.B.cell,40.84283647,DKO
AF05,pro.B.cell,45.31199691,DKO
AF05,cytotoxic.T.cell.type.2,26.75097303,DKO
AF05,CD4+.naive.T.cell,0,DKO
AF05,T.helper.cell,0,DKO
AF05,naive.CD8+.T.cell,0,DKO
AF05,memory.B.cell,0,DKO
AF05,cytotoxic.T.cell.type.1,0,DKO
AF07,naive.B.cell,0,DKO
AF07,precursor.B.cell,20.9824685,DKO
AF07,pro.B.cell,26.10395881,DKO
AF07,cytotoxic.T.cell.type.2,14.65009334,DKO
AF07,CD4+.naive.T.cell,0,DKO
AF07,T.helper.cell,0,DKO
AF07,naive.CD8+.T.cell,0,DKO
AF07,memory.B.cell,0,DKO
AF07,cytotoxic.T.cell.type.1,0,DKO
BB03,naive.B.cell,0,DKO
BB03,precursor.B.cell,182.6473202,DKO
BB03,pro.B.cell,119.0120579,DKO
BB03,cytotoxic.T.cell.type.2,81.38769379,DKO
BB03,CD4+.naive.T.cell,0,DKO
BB03,T.helper.cell,0,DKO
